,title,release_year,genres,description,channels
0,In Cold Blood,1967,['Docudrama'],"In this adaptation of Truman Capote's seminal true-crime novel, ex-convicts Perry Smith (Robert Blake) and Richard ""Dick"" Hickock (Scott Wilson) hatch a plan to rob a wealthy Kansas family, the Clutters. The men enter the Clutter home expecting to find a safe filled with cash, but in fact find no money at all. Enraged, they kill the entire family and flee. While on the run, they face not only the realities of their terrible crime but also their own earthly impermanence.",['1248']
1,Bahu Begum,1967,"['Comedy drama', 'Romance']",Zeenat agrees to a marriage proposal believing that it is from her lover. But it is too late when she realizes that her marriage has been arranged with someone else.,['1542']
2,Fire,1996,['Drama'],"Sita (Nandita Das) and Radha (Shabana Azmi) are two Indian women stuck in loveless marriages. While Sita is trapped in an arranged relationship with her cruel and unfaithful husband, Jatin (Jaaved Jaafei), Radha is married to his brother, Ashok (Kulbhushan Kharbanda), a religious zealot who believes in suppressing desire. As the two women recognize their similar situations, they grow closer, and their relationship becomes far more involved than either of them could have anticipated.",['1532']
3,How to Murder Your Wife,1965,['Comedy'],"Stanley Ford (Jack Lemmon) is a successful cartoonist and happily single. That is, until, he gets drunk at a friend's bachelor party and impulsively proposes to the beautiful woman who pops out of the cake (Virna Lisi). Once sober, he regrets the decision, but she won't agree to a divorce. Stanley jokingly vents his frustrations in his comic strip by having the main character kill his wife. But when his actual wife goes missing and Stanley is arrested for her murder, he has a change of heart.",['633']
4,Killerman,2019,"['Action', 'Thriller', 'Crime drama']",Moe Diamond is a New York City money launderer who wakes up with no memory and millions of dollars in stolen cash and drugs. He must soon scour the streets in search of answers while trying to dodge a crew of violent and crooked cops.,['540']
5,El preso No. 9,1981,['Drama'],Un inmigrante ilegal en los Estados Unidos lleva a su esposa con él pero no está satisfecha con su nueva vida y por eso lo engaña.,['980']
6,The Cup,2011,['Drama'],"In 2002, jockey Damien Oliver (Stephen Curry) loses his brother in a tragic racetrack accident mere days before he's due to ride in Australia's prestigious Melbourne Cup.",['597']
7,La Bamba,1987,"['Biography', 'Drama']","Los Angeles teenager Ritchie Valens (Lou Diamond Phillips) becomes an overnight rock 'n' roll success in 1958, thanks to a love ballad called ""Donna"" that he wrote for his girlfriend (Danielle von Zerneck) whose parents didn't want her to date a Latino boy. But as his star rises, Valens has conflicts with his jealous brother, Bob (Esai Morales), and becomes haunted by a recurring nightmare of a plane crash just as he begins his first national tour alongside Buddy Holly (Marshall Crenshaw).",['582']
8,Married to the Mob,1988,['Comedy'],"Angela de Marco (Michelle Pfeiffer) is fed up with her gangster husband's (Alec Baldwin) line of work and wants no part of the crime world. When her husband is killed for having an affair with the mistress of mob boss Tony ""The Tiger"" Russo (Dean Stockwell), Angela and her son depart for New York City to make a fresh start. Unfortunately, Tony has set his sights upon Angela -- and so has an undercover FBI agent (Matthew Modine) looking to use her to bust Tony.",['537']
9,King Kong,1976,"['Adventure', 'Fantasy']","When a research ship is sent to explore an island thought to be rich in oil, paleontologist Jack Prescott (Jeff Bridges) sneaks aboard, having heard strange rumors about the island. En route, the crew rescues Dwan (Jessica Lange), the sole survivor of a shipwreck. When they arrive, they find native people living in fear of a monster called Kong. The natives kidnap Dwan and sacrifice her to what turns out to be an enormous ape. Dwan is eventually rescued, and the ape captured for a gala exhibit.",['516']
10,The Vow,2012,"['Romance', 'Drama']","Paige (Rachel McAdams) and Leo (Channing Tatum) are happily married newlyweds, but their idyllic life together suddenly shatters when a car accident leaves her in a coma. When Paige awakes, she has severe memory loss and doesn't know Leo. She also has a confusing relationship with her parents (Sam Neill, Jessica Lange) and still harbors feelings for a former fiance (Scott Speedman). Despite these difficult obstacles, Leo is determined to renew their bond and rebuild their marriage.",['581']
11,Brooklyn's Finest,2009,['Crime drama'],"A massive drug operation changes the lives of three conflicted New York cops. Burned-out vet Eddie Dugan (Richard Gere) is close to retirement; narcotics cop Sal Procida (Ethan Hawke) faces the difficult task of caring for his large family on his ordinary salary; undercover officer Clarence ""Tango"" Butler (Don Cheadle) finds his loyalties beginning to shift toward a powerful drug dealer. Over seven chaotic days, the three men are drawn toward a fateful crime and destiny.",['583']
12,Babe: Pig in the City,1998,"['Comedy drama', 'Fantasy', 'Children']","When Babe accidentally puts farmer Hoggett (James Cromwell) in traction, the debtors come looking for their payments. In order to pay their debt, Mrs. Hoggett (Magda Szubanski) sends Babe off across the ocean to the city to demonstrate his talents as a sheep herder. Along with his friends, Babe meets a lot of new friends and gets into new adventures.",['514']
13,American Christmas,2019,"['Comedy', 'Holiday']","After another ruined Christmas dinner, a mother is determined to make her family reflect on their misdeeds.",['571']
14,The Mothman Prophecies,2002,['Thriller'],"Based on true events in Point Pleasant, Virginia, ""The Mothman Prophecies"" examines a series of inexplicable occurrences through the eyes - and mind- of one man. A man (Richard Gere) is driven to investigate the mysterious circumstances surrounding his wife's (Debra Messing) death -- and how they might be connected to the strange phenomena in a town four hundred miles away.",['602']
15,Chronicle,2012,"['Drama', 'Science fiction', 'Thriller']","Andrew (Dane DeHaan) is a socially awkward, introverted teen whose main form of escape and expression is a video camera. But things begin to change when Andrew, his cousin Matt (Alex Russell) and popular classmate Steve (Michael B. Jordan) discover a mysterious substance that leaves them with incredible powers. As their abilities become more powerful, the teens' lives spin out of control when their darker sides begin to emerge. Andrew's camera captures the unfolding events.",['520']
16,The Monster,2016,"['Horror', 'Thriller', 'Fantasy']","A divorced mother and her headstrong daughter must make an emergency late-night road trip to see the girl's father. As they drive through deserted country roads on a stormy night, they suddenly have a startling collision that leaves them shaken but not seriously hurt. Their car, however, is dead, and as they try in vain to get help, they come to realize they are not alone -- a terrifying evil is lurking in the woods, intent on never letting them leave.",['553']
17,Reinos,2017,['Drama'],"Alejandro, un estudiante de primer año, y Sofía, quien hace su tesis final, se conocen en la universidad y se embarcan en un apasionante romance. Sin embargo, él busca amor y ella solo contacto físico.",['982']
18,Kit Kittredge: An American Girl,2008,"['Comedy drama', 'Children']","Kit Kittredge (Abigail Breslin), a girl growing up in Depression-era Cincinnati, has a nose for news and a knack for picking up strays. When a crime spree hits the Ohio city, all evidence points to the local hobo community, particularly Kit's friend Will. She recruits her friends Ruthie and Stirling to sniff out the real thief, but the children uncover a plot that reaches far beyond Cincinnati.",['584']
19,Long Shot,2019,['Romantic comedy'],"Fred Flarsky is a gifted and free-spirited journalist who has a knack for getting into trouble. Charlotte Field is one of the most influential women in the world -- a smart, sophisticated and accomplished politician. When Fred unexpectedly runs into Charlotte, he soon realizes that she was his former baby sitter and childhood crush. When Charlotte decides to make a run for the presidency, she impulsively hires Fred as her speechwriter -- much to the dismay of her trusted advisers.",['532']
20,EDtv,1999,['Comedy'],"In a desperate attempt to boost ratings, a cable channel decides to document the life of someone on a daily basis and air the footage as a show. That lucky someone turns out to be Ed Pekurny (Matthew McConaughey), a laid-back video-store clerk. While the TV series makes Ed an overnight celebrity, it also begins to wreak havoc on his personal life, complicating his relationship with his new girlfriend, Shari (Jenna Elfman), and causing tension with his brother, Ray (Woody Harrelson).",['513']
21,The Hangover Part II,2011,['Comedy'],"Two years after the disastrous events in Las Vegas, it is now Stu's (Ed Helms) turn to walk down the aisle. Since his bride is from Thailand, Stu decides to hold the wedding there. Desperately hoping to avoid the mayhem of Doug's (Justin Bartha) bachelor party, Stu chooses what he thinks will be a safe option: an alcohol-free, prewedding brunch. But this being Thailand, and with Phil (Bradley Cooper) and Alan (Zach Galifianakis) again in attendance, anything can happen.",['518']
22,Shrink,2009,['Drama'],"Henry Carter (Kevin Spacey), a jaded therapist-to-the-stars, uses marijuana to forget his troubles. His first pro bono case puts him in touch with Jemma (Saffron Burrows), a troubled teen who lives far from the glamour of the Hollywood Hills. Confronted with her real problems, Henry wonders, given his current state of mind, if he can help Jemma find answers to her questions.",['599']
23,Gunfighters of Abilene,1960,['Western'],A gunslinger (Buster Crabbe) goes after the land baron (Barton MacLane) who framed and killed his brother.,['607']
24,Honey 2,2011,['Drama'],A troubled but gifted dancer (Katerina Graham) prepares to compete on a talent show.,['556']
25,Breakfast With Scot,2007,['Comedy drama'],"Gay partners (Tom Cavanagh, Ben Shenkman) become the temporary guardians of a flamboyant orphan (Noah Bernett).",['1849']
26,El Niño y la Niebla,1953,['Drama'],La esposa de un ingeniero petrolero se preocupa de la posibilidad de que su hijo puede haber heredado su demencia.,['985']
27,Downhill,2020,['Comedy drama'],"A woman starts to have second doubts about her husband after he runs away from an approaching avalanche, leaving her and their two sons behind.",['519']
28,S.M.A.R.T. Chase,2017,"['Action', 'Thriller']","A private security agent gets ambushed while trying to transport a valuable Chinese antique out of Shanghai. With help from his team, he must now battle his way through a gang of thugs to reclaim the prized possession -- and his reputation.",['603']
29,The Siren,2019,['Fantasy'],The friendly rapport between new neighbors slowly changes when a mysterious woman arrives.,['572']
30,Reality Bites,1994,['Drama'],"After college, Lelaina (Winona Ryder) films a documentary about herself and friends as they flounder in their attempts to forge relationships and begin careers. Vickie (Janeane Garofalo) works retail, has an endless string of one-night stands and awaits the results of her HIV test. Sammy (Steve Zahn) tries to come out to his parents. Lelaina gets involved with yuppie Michael (Ben Stiller) while maintaining a love-hate relationship with Troy (Ethan Hawke), who's undergoing an existential crisis.",['542']
31,Machine Gun Preacher,2011,"['Drama', 'Biography']","Sam Childers (Gerard Butler), a former biker, decides to go to East Africa to help repair homes destroyed by civil war. Transformed by the horrors he sees, Sam ignores the warnings of more experienced aide workers and breaks ground for an orphanage in the heart of territory controlled by a brutal renegade militia. But establishing a shelter is not enough; determined to save as many lives as possible, Sam leads armed missions into enemy territory to rescue kidnapped children.",['604']
32,Beyond the Opposite Sex,2018,['Documentary'],A transgender man and woman face the challenges of maintaining relationships.,['557']
33,I Used to Go Here,2020,['Comedy'],A successful author finds herself deeply enmeshed in the lives of a group of college students after being asked to speak at her alma mater.,['512']
34,Reefer Madness,1936,['Drama'],"High-school principal Dr. Alfred Carroll (Josef Forte) relates to an audience of parents that marijuana can have devastating effects on teens. In his story, a drug supplier entices several restless teens, including sister and brother Mary (Dorothy Short) and Jimmy Lane (Warren McCollum) and Mary's boyfriend, Bill (Kenneth Craig), into frequenting a ""reefer"" house. Gradually, Bill and Jimmy are drawn into smoking dope, which affects their family lives and leads to a terrible crime.",['623']
35,Jamel Shabazz Street Photographer,2013,['Documentary'],The life and work of photographer Jamel Shabazz.,['555']
36,Street Wars,2012,['Crime drama'],Elijah Kane y su equipo se apresuran a detener a una banda de narcotraficantes que distribuye Éxtasis venenoso en fiestas.,['973']
37,Shaun of the Dead,2004,"['Comedy', 'Horror']","Shaun (Simon Pegg) is a 30-something loser with a dull, easy existence. When he's not working at the electronics store, he lives with his slovenly best friend, Ed (Nick Frost), in a small flat on the outskirts of London. The only unpredictable element in his life is his girlfriend, Liz (Kate Ashfield), who wishes desperately for Shaun to grow up and be a man. When the town is inexplicably overrun with zombies, Shaun must rise to the occasion and protect both Liz and his mother (Penelope Wilton).",['522']
38,Autism: The Sequel,2019,['Documentary'],"Las vidas de cinco adultos autistas en sus 20 años, además se muestran imágenes del pasado que revelan sus vidas con sus respectivas familias 12 años atrás.",['517']
39,Beneath the Planet of the Apes,1970,['Science fiction'],"The second installment in ""The Planet of the Apes"" series. Here, an earthling sent to find the astronauts of the original film discovers not only a world of intelligent, talking apes, but an underground cult of grotesque ""humans"" who are the survivors of a nuclear blast years ago.",['533']
40,Assault on Precinct 13,2005,"['Action', 'Crime drama', 'Thriller']","While en route to prison, a bus carrying criminals Marion (Laurence Fishburne), Beck (John Alberto Leguizamo) and Anna (Aisha Hinds) is rerouted to Detroit's soon-to-be-closed Precinct 13 because of a dangerous winter storm. All communications with the outside world are cut off, and Jake (Ethan Hawke), an emotionally volatile police sergeant who is haunted by his past, is forced to work with the criminals in order to survive an attack on the precinct by a group of armed men.",['541']
41,Autism: The Sequel,2019,['Documentary'],"Five autistic adults navigate their way through their early 20s, while old footage reveals their lives with their families 12 years earlier.",['511']
42,In Search of Greatness,2018,['Documentary'],"Top athletes, including Michael Jordan, Pelé, Jerry Rice and Wayne Gretzky, explore the importance of nature versus nurture in determining athletic ability.",['598']
43,Los pajarracos,2006,"['Adventure', 'Comedy']",La historia de un luchador mexicano que desea llegar a los Estados Unidos a luchar y así cumplir el sueño americano.,['984']
44,Bachelor Party,1984,['Comedy'],"On the eve of his wedding to his longtime girlfriend, Debbie (Tawny Kitaen), unassuming nice guy Rick (Tom Hanks) is dragged out for a night of debauchery by his friends. The gang includes cocky Jay (Adrian Zmed), self-appointed ringleader of the party, and depressed, recently divorced Brad (Bradford Bancroft). Along the way, they run into Debbie's wealthy, disapproving father (George Grizzard) and her ex-boyfriend, Cole (Robert Prescott), who attempt to stop the wedding in an unexpected way.",['622']
45,Revenge of the Pink Panther,1978,['Comedy'],"When French drug kingpin Philippe Douvier (Robert Webber) learns that he's losing the respect of New York mob bosses, he decides to murder Chief Inspector Jacques Clouseau (Peter Sellers) to regain his reputation. After a case of mistaken identity, Clouseau is declared dead, much to the delight of his former boss, Charles Dreyfus (Herbert Lom). When Clouseau reemerges, he teams up with Douvier's ex-lover, Simone LeGree (Dyan Cannon), to break up the drug trafficking operation.",['534']
46,Leatherheads,2008,['Romantic comedy'],"Dodge Connolly (George Clooney), captain of a 1920s football team, wants to give the sagging sport a boost and capture the country's attention. He recruits Carter Rutherford (John Krasinski) to play for the team. Carter is not only a war hero, but he is also fast, handsome, and guaranteed to pack the stands with fans. Newswoman Lexie Littleton (Renée Zellweger) goes digging for dirt on Carter, while both Dodge and Carter try to score with her off the field.",['551']
47,The Captive,2014,"['Thriller', 'Mystery']","Eight years after a child disappeared without a trace, detectives find disturbing clues that indicate that the girl is still alive.",['552']
